昵称,地区,性别,评论
茜茜宝贝CC,安徽,女,一天来欣赏八百遍[舔屏][舔屏][舔屏]
胖大头zz,浙江,女,月亮可以为我作证，我向它传了很多想你的简讯@刘亦菲
十买米羔白勺,广东,男,描述黄亦玫的时候，@刘亦菲 说过一句话，“她没有过多地拿别人去定义自己，相反，她会拿外部事物去照见自己，她会越来越成为自己。”#刘亦菲黄亦玫#
gan_fang_cao,江苏,男,[色][色]老婆早呀[给你小心心][给你小心心]
慕清唯,浙江,女,好帅的茜茜[爱慕]
十买米羔白勺,广东,男,@刘亦菲 “喜欢玫瑰的刺，喜欢她身上的疯狂，也喜欢她很有劲的东西。她热烈过，脆弱过，又足够复杂，有多线的交织、成长和自我发现，人物是立体的。”#刘亦菲黄亦玫#[舔屏]
十买米羔白勺,广东,男,@刘亦菲：“真正的技巧在天性和灵感面前，都不值一谈。……从信念感出来的眼神、肢体语言和表演状态才是最重要的”，在不久前的创作座谈会上，她也说过类似的话，“她怎么拥抱爱人，怎么绝望，怎么坚强，为什么要这样生活，而不是那样？我希望让人物的状态和情绪流淌出来。”#刘亦菲黄亦玫# ​
YANG-YAN-LING,江西,女,打卡[心]
青枫浦上icc,江苏,女,老公是一种感觉[酷]
西竹伢,广东,女,啊啊啊啊啊啊啊啊啊啊姐姐[赢牛奶][赢牛奶] http://t.cn/A6ncpnHF
faced_Z,北京,女,[求关注]好帅
今天也为刘亦菲心动,江西,女,帅 老公[害羞][害羞]
菲菲茜的小迷妹,湖北,女,是心跳不止，是无所替代[打call][打call][打call]@刘亦菲
刘贱安什么时候走,湖南,女,好酷的[心]
YANG-YAN-LING,江西,女,真´_>`酷[666]
谁知1314,重庆,男,哇，好帅[爱你]
亦朵黄玫瑰icc,北京,女,愿新一天的我们：知足且坚定，温柔且上进❤️
过了月半弦月,江苏,女,老婆老婆我爱你 亲亲
ZHC局外人_,安徽,女,哇哇哇这也太酷了[偷笑]
暴雨预警狂风,广东,男,[并不简单][并不简单][并不简单][并不简单]帅爆了姐姐[色][色]@刘亦菲 #刘亦菲#
十买米羔白勺,广东,男,为作品不辍探索，为角色填补血肉，不畏挑战不惧创新，题材不设限创作无标签；镜头每一次对准，实力演员@刘亦菲 心无杂念全情演绎：用角色打动观众，让作品发出回响：从首部仙侠剧到首部田园剧到都市先锋剧，皆打开新局面不负期待；一起期待她下一个角色。
-阿白7,广东,男,刘亦菲帅爆了[打call][打call][打call]
